time,open,high,low,close,Plot,Plot,Mid Price,Breakout Up,Breakout Down,Fake Breakout,Breakout midPrice Up,Breakout midPrice Down,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Basis,Upper,Lower,Basis,Upper,Lower,EMA,EMA,MA,MA,MA,MA,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
1762840800,50705.00635434625,50816.45,50581.17,50712.82,50969.5,50392.44,50680.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51058.896000000226,51521.935137257446,50595.85686274301,51058.896000000226,51290.415568628836,50827.37643137162,50860.89437024854,50930.51131709179,46541.49015820317,50564.11641406247,50649.193812500074,51058.896000000226,170.42521209949336,35.12726596178351,46.95430308584066,NaN,NaN,NaN,NaN,-72.83950360534209,-57.830171692185104,15.009331913156977,12.78640077304563,11.997235146002183
1762841700,50708.913177173126,50878.41,50708.913177173126,50833.485,50969.5,50392.44,50680.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51028.59012500022,51466.660889094615,50590.519360905826,51028.59012500022,51247.62550704742,50809.55474295302,50859.819492983894,50921.690742810715,46547.95606445317,50569.16685937497,50647.45431250007,51028.59012500022,170.3588985800208,44.35841968360784,45.98264449134278,NaN,NaN,NaN,NaN,-57.35410289177779,-56.68329670156527,0.6708061902125255,21.656226485807935,14.823701356453912
1762842600,50771.19908858657,50842.88,50771.19908858657,50842.88,50969.5,50392.44,50680.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51000.725000000224,51410.70256653587,50590.74743346458,51000.725000000224,51205.713783268046,50795.7362167324,50859.15519914139,50914.52612982792,46554.42992968754,50573.884835937475,50645.70128125007,51000.725000000224,163.31047092526433,45.01447776029677,45.17353081117534,NaN,NaN,NaN,NaN,-44.04810554025665,-54.38932573510829,-10.341220194851637,33.375770193428906,22.606132484094157
1762905600,50807.03954429328,51017.84,50537.5,50791.384999999995,51513.16,50581.17,51047.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50975.802500000216,51372.84759786703,50578.7574021334,50975.802500000216,51174.32504893362,50777.27995106681,50856.497544273094,50903.33148166175,46560.867541015665,50578.518929687474,50643.50540625007,50975.802500000216,185.95543728774518,42.08542301807399,44.00792512292376,NaN,NaN,NaN,NaN,-36.591101369605624,-56.08009690685867,-19.488995537253047,39.03116218530341,31.35438628818008
1762906500,50799.21227214664,50866.36,50579.03,50702.545,51513.16,50581.17,51047.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50947.90887500021,51339.400107463465,50556.41764253696,50947.90887500021,51143.654491231835,50752.16325876859,50850.46018959572,50885.078165147046,46567.24522656253,50582.83650781248,50640.508562500065,50947.90887500021,193.19647748147779,37.546312717732945,42.44816559989123,NaN,NaN,NaN,NaN,-35.49091342526059,-63.85263731882878,-28.361723893568197,34.27591059851425,35.56094765908219
1762907400,50750.87863607332,50961.37,50750.87863607332,50855.7925,51513.16,50581.17,51047.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50927.881500000214,51294.394986289,50561.36801371143,50927.881500000214,51111.13824314461,50744.62475685582,50850.66929980765,50882.41583195186,46573.73036523441,50587.434499999974,50639.48425000007,50927.881500000214,197.88422908994397,47.970820310836025,41.69706052807442,NaN,NaN,NaN,NaN,-22.902378749365276,-56.989697330274794,-34.08731858090952,38.30817849508896,37.205083759635535
1762908300,50803.335568036666,50965.46,50803.335568036666,50916.045,51513.16,50581.17,51047.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50913.746125000216,51258.54563361829,50568.94661638214,50913.746125000216,51086.14587930925,50741.34637069118,50853.23305275637,50885.47302904715,46580.25131054691,50592.29582812497,50639.37887500007,50913.746125000216,195.32995786661465,51.405239249422955,41.44231209938032,NaN,NaN,NaN,NaN,-9.655607190548537,-46.156827569095185,-36.50122037854665,47.70730749137047,40.097132194991225
1762909200,50859.69028401833,51007.75,50859.69028401833,50918.745,51513.16,50581.17,51047.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50903.85737500022,51235.93733602098,50571.77741397946,50903.85737500022,51069.8973555106,50737.81739448984,50855.8021487267,50888.49775367923,46586.774947265665,50597.37538281247,50639.54450000006,50903.85737500022,191.9535120176899,51.559547043657794,41.40671769966218,NaN,NaN,NaN,NaN,-0.3415421750088541,-36.92814809730771,-36.58660592229886,61.4767122820738,49.164066089511074
1762910100,50889.21764200917,50943.92,50813.82,50875.97,51513.16,50581.17,51047.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50892.96237500022,51213.48831468937,50572.43643531107,50892.96237500022,51053.225344844795,50732.69940515565,50856.593044855064,50887.358866981114,46593.27092773441,50602.24862499997,50639.49381250007,50892.96237500022,187.5354040164262,48.90979523648963,41.146877285534366,NaN,NaN,NaN,NaN,3.117990071124119,-32.68911833339371,-35.80710840451783,64.74684134829415,57.97695370724614
1762911000,50882.593821004586,50916.99,50808.88,50870.557499999995,51513.16,50581.17,51047.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50879.93125000021,51181.27574630804,50578.58675369238,50879.93125000021,51030.60349815412,50729.2590018463,50857.14067054702,50885.83146998283,46599.74420898441,50607.047476562475,50639.410468750066,50879.93125000021,181.8621608723958,48.569658354095274,41.52553140810412,NaN,NaN,NaN,NaN,5.10394113589652,-29.427181984647177,-34.5311231205437,66.11790490760292,64.11381951265696
