time,open,high,low,close,Plot,Plot,Mid Price,Breakout Up,Breakout Down,Fake Breakout,Breakout midPrice Up,Breakout midPrice Down,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Basis,Upper,Lower,Basis,Upper,Lower,EMA,EMA,MA,MA,MA,MA,MA,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
1763892000,86257.47343761587,86656.51,86227.42,86433.8425,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86039.6594374232,86446.02972121438,85633.28915363201,86852.40000500556,85226.91886984083,85398.04500000027,87013.02455352811,83783.06544647244,85398.04500000027,86205.5347767642,84590.55522323636,85594.99418640452,85570.14285596636,107849.21796484376,94880.36370312535,90546.77577499971,86177.00699999968,85398.04500000027,734.4287112833398,66.47032850915772,63.69241304029301,NaN,NaN,NaN,NaN,117.1303398960764,463.1829866305343,346.0526467344579,77.83372439456771,71.9848491015408
1763895600,86345.65796880794,86563.12,85999.91,86319.3175,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86059.90338792454,86455.80779294246,85663.99898290662,86851.71219796038,85268.0945778887,85493.88825000028,87088.5427463315,83899.23375366906,85493.88825000028,86291.21549816588,84696.56100183468,85623.3990222318,85638.2496417876,107827.35335546876,94818.98288281285,90496.5765499997,86100.51037499969,85493.88825000028,722.1988033345293,64.02388134290064,64.90508484959174,NaN,NaN,NaN,NaN,91.46853389858961,460.3883141076949,368.9197802091053,80.6281608186362,76.27123139883803
1763899200,86332.48773440397,87057.18,86332.48773440397,86670.53,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86122.30002545138,86542.2482924579,85702.35175844486,86962.19655946441,85282.40349143834,85598.95375000029,87212.85052878053,83985.05697122005,85598.95375000029,86405.90213939041,84792.00536061017,85664.46298214428,85732.093310716,107805.70703320313,94758.54907812535,90449.17151249971,86027.18718749969,85598.95375000029,723.3176388106336,67.92291719524577,65.91672854456043,NaN,NaN,NaN,NaN,89.6394693975937,480.9691169560974,391.3296475585037,81.16452002424751,79.87546841248383
1763902800,86501.50886720198,87143.13,86501.50886720198,86877.2425,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86177.39408876977,86623.9034408774,85730.88473666213,87070.41279298504,85284.3753845545,85713.01150000028,87349.55737892399,84076.46562107658,85713.01150000028,86531.28443946214,84894.73856053843,85712.02296323665,85836.19778246908,107784.10299023439,94698.45223437535,90402.9257999997,85953.85928124968,85713.01150000028,717.4821740954475,69.9848073065124,66.89159867613304,NaN,NaN,NaN,NaN,93.41822922858785,508.10243409423856,414.6842048656507,83.54139862847944,81.7780264904544
1763906400,86689.37568360099,87417,86664.61,86987.34499999999,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86259.47838801508,86752.11308507077,85766.84369095939,87244.74778212646,85274.2089939037,85833.99062500028,87471.7344201409,84196.24682985967,85833.99062500028,86652.86252257059,85015.11872742997,85762.03559212934,85940.84752951734,107762.62513867188,94638.75332812534,90356.9478999997,85888.81465624968,85833.99062500028,719.975590231487,71.05214574971926,67.9230294300241,NaN,NaN,NaN,NaN,94.1354323324079,532.3534952811606,438.2180629487527,85.47881103706868,83.39490989659856
1763910000,86838.3603418005,87398.21,86626.42,87000.83249999999,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86315.85779781976,86829.15236981366,85802.56322582586,87342.44694180756,85289.26865383195,85953.70100000028,87564.88105193722,84342.52094806333,85953.70100000028,86759.29102596875,85148.1109740318,85810.61586302622,86037.20979956121,107741.16096875002,94578.38039062533,90311.2853499997,85825.80359374968,85953.70100000028,723.676619500667,71.187310602157,68.3767979334371,NaN,NaN,NaN,NaN,86.51581673836574,546.3628338717099,459.84701713334414,84.55854689477898,84.52625218677572
1763913600,86919.59642090024,87671.32,86865.01,87164.4575,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86402.02342288241,86959.14744997627,85844.89939578855,87516.27147707013,85287.7753686947,86086.45537500028,87636.09214417517,84536.81860582539,86086.45537500028,86861.27375958773,85311.63699041284,85863.70769192715,86139.68686323747,107719.05706640627,94518.86300781285,90267.0679499997,85763.64871874968,86086.45537500028,729.5790038220488,72.84391008160867,68.571307417667,NaN,NaN,NaN,NaN,83.45451499049278,564.1651608714601,480.7106458809673,80.39543713043264,83.47759835409346
1763917200,87042.02696045012,87123,86685.28,86890.8725,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86437.30796801751,86989.30241167394,85885.31352436109,87541.29685533037,85333.31908070466,86210.43287500028,87591.7712791481,84829.09447085245,86210.43287500028,86901.10207707419,85519.76367292636,85903.98866479275,86207.97646657952,107696.0988730469,94458.49333593785,90222.2996124997,85702.07128124968,86210.43287500028,711.6931821204743,66.00997858554285,68.18430069043775,NaN,NaN,NaN,NaN,55.318824029880716,549.8591759183182,494.5403518884375,74.00768332623396,79.65388911714855
1763920800,86966.44973022505,87379.6,86847.71,87057.7225,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86468.36770331697,87024.93936064668,85911.79604598726,87581.51101797639,85355.22438865755,86324.72662500027,87583.90012659102,85065.55312340953,86324.72662500027,86954.31337579565,85695.13987420489,85949.23312891852,86285.22610598139,107673.19600000003,94398.65284375034,90178.40976249971,85643.28271874969,86324.72662500027,698.8500976832975,67.98276388143971,67.70778827009511,NaN,NaN,NaN,NaN,40.92336106825695,545.6945532237587,504.77119215550175,70.79925005261292,75.06745683642653
1763924400,87012.08611511253,87820.96,87012.08611511253,87382.96,85608.45,83547.39,84577.92,NaN,NaN,NaN,NaN,NaN,86531.67299552403,87118.31600692551,85945.02998412255,87704.95901832699,85358.38697272107,86447.49075000027,87613.1905866729,85281.79091332764,86447.49075000027,87030.34066833659,85864.64083166396,86005.45771209818,86385.02009634672,107650.40811523439,94340.08739843784,90136.4956124997,85589.0909999997,86447.49075000027,706.7089396264533,71.46005179608399,67.59923180470643,NaN,NaN,NaN,NaN,45.90928838987611,562.157802642847,516.2485142529708,72.29113745831117,72.36602361238603
