time,open,high,low,close,Plot,Plot,Mid Price,Breakout Up,Breakout Down,Fake Breakout,Breakout midPrice Up,Breakout midPrice Down,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Basis,Upper,Lower,Basis,Upper,Lower,EMA,EMA,MA,MA,MA,MA,MA,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
1743701400,19102.241241651758,19102.241241651758,18502.973,18609.0658,19707.3381,19157.1998,19432.268949999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19578.331243750006,20514.64627166863,18642.016215831383,19578.331243750006,20046.488757709318,19110.173729790695,19861.694401250297,19440.076193316952,16416.009917304717,20500.679028359424,20946.66392462499,20484.3895596875,19578.331243750006,423.42175899301844,31.002748006942568,40.55601908675819,NaN,NaN,NaN,NaN,-75.11134195058244,-253.20684997437274,-178.0955080237903,22.772533930890432,33.91637163386352
1743773400,18855.65352082588,18855.65352082588,17480.8196,17791.4044,18902.071,18502.973,18702.522,NaN,18502.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19490.56932375001,20708.886971404696,18272.251676095322,19490.56932375001,20099.728147577353,18881.410499922666,19780.50655806401,19290.196939379046,16419.993109570343,20497.367726796925,20932.408786749995,20435.5655765625,19490.56932375001,491.37977055250855,23.202241156133297,38.37269137823167,NaN,NaN,NaN,NaN,-139.10911661968322,-351.98190379839434,-212.87278717871112,9.129086593996867,22.229547786300476
1743787800,18323.52896041294,18323.52896041294,17387.8339,17530.6555,18902.071,18502.973,18702.522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19382.765701250006,20865.455218467156,17900.076184032856,19382.765701250006,20124.11045985858,18641.42094264143,19692.2771048066,19130.238626708222,16423.748926582062,20492.8557635938,20916.24862424999,20383.155255625003,19382.765701250006,523.1165769711107,21.356830182119538,36.42142498466216,NaN,NaN,NaN,NaN,-186.6290172533811,-446.1590587454375,-259.5300414920564,7.709082761743453,13.20356776221025
1744032600,17927.092230206472,18191.5034,16542.1992,17249.283875,18089.2464,17387.8339,17738.54015,NaN,17387.8339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19240.616183750008,20951.525513520697,17529.706853979318,19240.616183750008,20096.07084863535,18385.161518864665,19596.473448735753,18959.242740189293,16427.611369043,20487.4067914063,20897.590575249993,20327.6440125,19240.616183750008,603.558550044603,19.54986637854229,34.469712921455674,NaN,NaN,NaN,NaN,-222.22056280659183,-537.3057450002962,-315.0851821937043,12.658523384311936,9.83223091335075
1744047000,17588.188052603236,17671.5207,17274.0741,17467.0607,18089.2464,17387.8339,17738.54015,NaN,NaN,17387.8339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19106.149803750006,20927.209386054594,17285.090221445418,19106.149803750006,20016.6795949023,18195.620012597712,19512.96706643239,18823.58982744481,16431.77596800784,20482.61041289068,20879.524517874994,20276.593155937502,19106.149803750006,590.6069982557027,24.84966794277841,32.918782225409245,NaN,NaN,NaN,NaN,-216.10890526540942,-585.2213137754661,-369.1124085100567,17.987127871604702,12.78491133922003
1744119000,17527.624376301617,18207.0075,17374.0451,17748.063475,18191.5034,16542.1992,17366.851300000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18982.799170000006,20820.823286790437,17144.775053209574,18982.799170000006,19901.81122839522,18063.78711160479,19443.75516088602,18725.814704495282,16436.185051796907,20477.602121718803,20862.783902624993,20226.953106875,18982.799170000006,607.9180983802954,31.1520866373869,32.3959885635997,NaN,NaN,NaN,NaN,-179.6513828062188,-593.6766370178302,-414.0252542116114,28.879625691604492,19.841758982507045
1744133400,17637.843925650806,17637.843925650806,16850.1818,17231.09385,18191.5034,16542.1992,17366.851300000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18831.962146250004,20724.303801426126,16939.62049107388,18831.962146250004,19778.132973838063,17885.791318661944,19356.984129086566,18589.930990450255,16440.186745273466,20470.60676882818,20843.319986124996,20170.2977659375,18831.962146250004,628.6297824245602,26.713486498533243,31.85737591419345,NaN,NaN,NaN,NaN,-176.60009620184934,-634.7753744639231,-458.17527826207373,29.184078746889387,25.35027743669953
1744205400,17434.468887825402,18619.9995,17082.3548,17767.533675,18207.0075,16850.1818,17528.59465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18715.902875000007,20570.031216853302,16861.774533146712,18715.902875000007,19642.967045926656,17788.838704073358,19294.65273873023,18515.167598136595,16444.660923535186,20465.290431718804,20826.684057499995,20121.408086875,18715.902875000007,693.5594193942345,36.779499343108576,32.3646900060511,NaN,NaN,NaN,NaN,-127.01850704653884,-616.9484120702473,-489.92990502370844,32.85894130375552,30.3075485807498
1744219800,17601.0012814127,19234.0184,17601.0012814127,18721.33585,18207.0075,16850.1818,17528.59465,18207.0075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18656.452190000004,20427.982518229233,16884.921861770774,18656.452190000004,19542.21735411462,17770.68702588539,19272.16972348591,18533.910166487814,16449.92940593753,20462.793148281307,20814.939044749994,20084.1737675,18656.452190000004,760.6635407651678,49.94417160551196,33.40107412901667,NaN,NaN,NaN,NaN,-23.94718351405845,-519.8638844162815,-495.91670090222306,43.10885877183252,35.05062627415914
1744291800,18161.16856570635,18710.5814,17794.4968,18318.836025,19234.0184,17082.3548,18158.1866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18580.234442500005,20270.26706641859,16890.20181858142,18580.234442500005,19425.2507544593,17735.21813054071,19234.784088251166,18514.357971807105,16455.047051289093,20458.962940703183,20801.274780499996,20043.240986875,18580.234442500005,772.5332199962271,45.626393376185405,33.9027198189445,NaN,NaN,NaN,NaN,20.74585556483288,-469.98438144618194,-490.7302370110148,54.5643031126796,43.51070106275588
1744306200,18240.002295353173,18519.5429,18105.5471,18277.81785,19234.0184,17082.3548,18158.1866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18502.528977500006,20095.325871340396,16909.732083659615,18502.528977500006,19298.9274244202,17706.130530579812,19197.25600047661,18492.854324370095,16460.104421660188,20454.572078750054,20787.429479374994,20000.313456875003,18502.528977500006,746.9234042822109,45.19756268992768,34.18610263725352,NaN,NaN,NaN,NaN,49.527264377934046,-428.8211565385973,-478.3484209165313,59.93830818398943,52.53715668950051
1744378200,18258.910072676586,18638.6876,18153.3243,18401.112125,18710.5814,17794.4968,18252.5391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18447.558991250007,19973.264814896083,16921.85316760393,18447.558991250007,19210.411903073044,17684.70607942697,19166.034672026544,18484.51412442736,16465.245547109407,20450.417763906305,20774.125692749996,19957.30116125,18447.558991250007,728.2405396906244,46.815660411160394,34.45198975963459,NaN,NaN,NaN,NaN,77.19995663224148,-381.84847512622946,-459.04843175847094,56.86139690934075,57.121336068669926
1744392600,18330.011098838295,18728.9536,18330.011098838295,18597.6825,18710.5814,17794.4968,18252.5391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18413.318673750004,19892.56662548349,16934.070722016517,18413.318673750004,19152.942649616747,17673.69469788326,19143.746351554913,18494.802158570325,16470.475860156283,20446.907796875057,20761.713245624996,19915.536596562502,18413.318673750004,704.719251224273,49.38175012631818,34.57614251297814,NaN,NaN,NaN,NaN,107.22743377053445,-325.0141395453029,-432.24157331583734,61.51124788070383,59.436984324678
1744637400,18463.846799419145,19115.1518,18463.846799419145,18889.958275,18728.9536,18153.3243,18441.13895,18728.9536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18407.933840000005,19879.39766970059,16936.47001029942,18407.933840000005,19143.6657548503,17672.20192514971,19133.793877964526,18530.725441882114,16475.96869511722,20444.13874085943,20751.139858374998,19875.9807240625,18407.933840000005,700.9039476068859,53.011984048764546,36.0417106002438,NaN,NaN,NaN,NaN,143.0200565159958,-253.4665026708426,-396.4865591868384,72.30552764842257,63.55939081282238
1744651800,18676.90253720957,18951.7448,18676.90253720957,18795.159,18728.9536,18153.3243,18441.13895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18388.983087500004,19829.9317788347,16948.03439616531,18388.983087500004,19109.45743316735,17668.50874183266,19120.514078828663,18554.76485625647,16481.40936515628,20440.99756523443,20740.441082249996,19834.651709062502,18388.983087500004,670.4709701199962,51.71643766598674,37.5212598616041,NaN,NaN,NaN,NaN,155.52165535789248,-202.0844899894728,-357.60614534736527,80.331936388586,71.3829039725708
1744723800,18736.030768604785,19004.1731,18736.030768604785,18851.487125,19115.1518,18614.7546,18864.9532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18367.682881250006,19767.47250183189,16967.893260668123,18367.682881250006,19067.577691540948,17667.788070959064,19109.96400220793,18581.739607960426,16486.83767382816,20438.140050000053,20732.066683874997,19793.7228865625,18367.682881250006,641.7332102110832,52.459874700806864,39.611090829080794,NaN,NaN,NaN,NaN,162.05966946542208,-155.03155851558768,-317.09122798100975,85.56799059907142,79.40181821202667
1744738200,18793.758946802394,18861.1051,18754.8686,18809.306075,19115.1518,18614.7546,18864.9532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18339.904687500006,19680.223406585817,16999.585968414194,18339.904687500006,19010.064047042913,17669.7453279571,19098.173495258598,18602.42746860039,16492.304406484407,20435.816888750058,20724.235560999998,19752.451346249996,18339.904687500006,603.4834451960058,51.81646230918191,41.78677883815668,NaN,NaN,NaN,NaN,157.86109851109995,-119.76485484213481,-277.62595335323476,84.56925834147154,83.48972844304299
