time,open,high,low,close,Plot,Plot,Mid Price,Breakout Up,Breakout Down,Fake Breakout,Breakout midPrice Up,Breakout midPrice Down,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Basis,Upper,Lower,Basis,Upper,Lower,EMA,EMA,MA,MA,MA,MA,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
1764807300,93398.17083411035,93398.17083411035,92743.28,92915.42250000002,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93125.99791221341,93242.47038107344,93009.52544335338,93358.94284993346,92893.05297449336,93328.00562499928,93971.68649603988,92684.32475395867,93328.00562499928,93649.84606051959,93006.16518947897,93070.07836641384,93305.29166898016,88505.39126953091,89458.57214843694,93050.67828125154,93328.00562499928,437.28566864630767,41.31684136537247,60.73829418283396,NaN,NaN,NaN,NaN,-60.90424586594611,122.37782899197191,183.28207485791802,28.92651779958182,42.78462523465641
1764808200,93156.79666705518,93156.79666705518,92676.44,92906.64,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93085.09216218868,93219.19874346606,92950.9855809113,93353.30532474343,92816.87899963393,93334.39174999928,93958.3886871322,92710.39481286636,93334.39174999928,93646.39021856575,93022.39328143281,93063.66901871134,93269.05060816379,88508.90822851528,89461.97281249944,93050.27034375156,93334.39174999928,440.36216853265574,41.129341378991136,59.821644646566476,NaN,NaN,NaN,NaN,-86.2552984831681,75.4629517539579,161.718250237126,17.762253480836932,29.947817813861743
1764809100,93031.71833352759,93166.55,92904.48,93045.425,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93069.17560607998,93179.99844812165,92958.35276403831,93290.82129016332,92847.52992199664,93338.01187499928,93954.3742407286,92721.64950926996,93338.01187499928,93646.19305786394,93029.83069213462,93062.95356699717,93248.72100742163,88512.91464062466,89465.67846093695,93048.66778125156,93338.01187499928,427.6270136374665,45.349937950792636,58.885053732959406,NaN,NaN,NaN,NaN,-90.24062180071843,48.91747298622795,139.15809478694638,17.30852327434124,21.332431518253333
1764810000,93038.5716667638,93728.49,92996.02,93373.03,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93109.62982004882,93254.44699580764,92964.81264429001,93399.26417156645,92819.9954685312,93355.6854999993,93954.53085050502,92756.84014949357,93355.6854999993,93655.10817525216,93056.26282474643,93075.11342711492,93260.02182492876,88517.59864843715,89470.92553906194,93048.68075000154,93355.6854999993,449.4015126633618,53.77453128138615,58.18137604168425,NaN,NaN,NaN,NaN,-68.36967476951709,53.69600132505002,122.06567609456711,28.777733359983994,21.282836705054056
1764810900,93205.8008333819,93759.86,93205.8008333819,93502.305,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93176.88565575427,93372.51375094346,92981.25756056509,93568.14184613264,92785.62946537591,93379.73174999928,93961.32463798979,92798.13886200877,93379.73174999928,93670.52819399454,93088.93530600402,93091.86603781629,93282.04756811705,88522.66668164029,89477.18542968694,93051.31890625154,93379.73174999928,456.87705937441444,56.61657546642337,57.407144230381235,NaN,NaN,NaN,NaN,-43.94015853269626,67.14047792869678,111.08063646139304,42.00679592244642,29.364350852257218
1764811800,93354.05291669094,93560.29,93341.26,93431.275,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93197.58118261966,93398.61288007906,92996.54948516026,93599.64457753846,92795.51778770085,93395.57312499928,93964.52187961522,92826.62437038335,93395.57312499928,93680.04750230725,93111.09874769131,93105.17619319604,93295.61369828823,88527.83068164028,89483.19261718694,93051.38312500154,93395.57312499928,439.88798370481334,54.62917187303212,56.42257119035336,NaN,NaN,NaN,NaN,-31.87046493603583,71.24255529134825,103.11302022738408,50.576098785173066,40.453542689201164
1764812700,93392.66395834547,93488.52,93180.9,93325.17250000002,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93208.36358593384,93404.5488044764,93012.17836739127,93600.73402301897,92815.9931488487,93405.63487499928,93961.99069385999,92849.27905613856,93405.63487499928,93683.81278442964,93127.45696556891,93113.80349934522,93298.30086208021,88532.71537109339,89488.63921874943,93048.70193750154,93405.63487499928,430.44027058304164,51.70919929894939,55.44579381336036,NaN,NaN,NaN,NaN,-30.345987781165377,65.18053550092736,95.52652328209274,49.51323650254301,47.365377070054166
1764813600,93358.91822917273,93713.38,93118.26,93431.2375,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93230.45366802877,93427.17097458808,93033.73636146946,93623.88828114739,92837.01905491015,93427.19024999929,93951.51602522144,92902.86447477713,93427.19024999929,93689.35313761036,93165.02736238821,93126.25189152776,93310.38601098201,88537.47789257778,89494.86553124944,93044.95371875154,93427.19024999929,442.20310839853937,54.33675590125877,54.79424097935759,NaN,NaN,NaN,NaN,-21.90176477620534,68.14931731183606,90.0510820880414,47.93490572323302,49.34141367031636
1764814500,93395.07786458638,94065.41,93395.07786458638,93798.12999999999,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93307.23921457217,93566.52300769978,93047.95542144455,93825.8068008274,92788.67162831694,93458.60987499928,93992.68067850167,92924.5390714969,93458.60987499928,93725.64527675048,93191.57447324808,93152.60005264432,93354.72637362001,88542.5815195309,89502.34388281194,93044.28475000153,93458.60987499928,458.49803889961714,62.03250705157718,54.287675422960305,NaN,NaN,NaN,NaN,7.132281008109132,98.96643334817782,91.83415234006868,57.07455792776557,51.5075667178472
1764815400,93596.60393229319,93993.03,93596.60393229319,93823.44249999999,94177.34,91012.82,92595.08,NaN,NaN,NaN,NaN,NaN,93334.4003424428,93610.66026701246,93058.14041787313,93886.92019158212,92781.88049330347,93479.85762499928,94036.02611071075,92923.6891392878,93479.85762499928,93757.94186785501,93201.77338214354,93178.90759959945,93397.33693056364,88548.09402734341,89509.70850781194,93046.45603125154,93479.85762499928,454.0643266715594,62.50204716662422,53.76047791058938,NaN,NaN,NaN,NaN,25.734522644888727,124.0023056461796,98.26778300129087,70.19337718508247,58.40094694536035
