time,open,high,low,close,Plot,Plot,Mid Price,Breakout Up,Breakout Down,Fake Breakout,Breakout midPrice Up,Breakout midPrice Down,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Basis,Upper,Lower,Basis,Upper,Lower,EMA,EMA,MA,MA,MA,MA,MA,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
1743566400,35731.67355153711,35778.9,35612.15,35693.104999999996,36052.54,35537.86,35795.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37131.567124999965,39014.918222602355,35248.216027397575,37131.567124999965,38073.24267380116,36189.89157619877,37333.07768892493,36775.605593255576,33899.75548046878,38282.04979687498,38610.30304999998,37885.311249999984,37131.567124999965,505.1775527496711,28.15176228288459,40.817602978730164,NaN,NaN,NaN,NaN,-216.5129985710396,-503.580923720765,-287.0679251497254,7.189732703012781,7.042983826094965
1743638400,35712.38927576855,35712.38927576855,34102,34678.1125,35778.9,35426.33,35602.615000000005,NaN,35426.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36967.90024999996,39091.41391998043,34844.3865800195,36967.90024999996,38029.65708499019,35906.143415009734,37228.96140700631,36584.924402959616,33904.41639062503,38282.979249999975,38591.94206249998,37834.85653124998,36967.90024999996,584.1212472510199,20.711259710613973,38.20652553113984,NaN,NaN,NaN,NaN,-253.34163817281552,-603.7449728657448,-350.40333469292926,10.461499700580639,8.460018368514596
1743652800,35195.25088788428,35195.25088788428,34479.57,34628.075,35778.9,35426.33,35602.615000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36805.190749999965,39114.12051115155,34496.26098884838,36805.190749999965,37959.65563057576,35650.72586942417,37126.965861633515,36407.02900269056,33908.98064648441,38289.75478906247,38574.52859999998,37786.39390624998,36805.190749999965,593.5183644391099,20.4246644083439,35.81510519909925,NaN,NaN,NaN,NaN,-263.1432447226535,-679.3323905962461,-416.1891458735926,12.10251380057395,9.917915401389122
1743724800,34911.66294394214,34911.66294394214,33449.61,33903.4225,35044.73,34102,34573.365000000005,NaN,34102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36611.942124999965,39196.56508155898,34027.31916844095,36611.942124999965,37904.253603279474,35319.630646720456,37000.552396471416,36179.42841153687,33913.19598046878,38291.27983593747,38552.16827499998,37722.230937499975,36611.942124999965,655.556548689326,16.79915617677571,32.79837276494346,NaN,NaN,NaN,NaN,-297.94361073767584,-788.6186592956874,-490.67504855801155,12.090789305593963,11.551600935582849
1743739200,34407.54272197107,34407.54272197107,33259.76,33635.905,35044.73,34102,34573.365000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36404.25099999997,39232.971051528235,33575.5309484717,36404.25099999997,37818.611025764105,34989.89097423583,36868.60543974704,35948.19901048807,33917.239380859406,38289.00435156248,38527.76909999998,37657.15878124998,36404.25099999997,690.7155610665932,15.691784558120872,29.66199458036787,NaN,NaN,NaN,NaN,-316.7360606816836,-886.5951244101161,-569.8590637284325,10.077509631130438,11.423604245766116
1743984000,34021.723860985534,34021.723860985534,30792.74,32200.285,34320.11,33259.76,33789.935,NaN,33259.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36127.00912499997,39423.868790019565,32830.14945998037,36127.00912499997,37775.43895750977,34478.57929249017,36685.53404995304,35607.47955498915,33920.20978320316,38280.97847656247,38493.084049999976,37573.61296874998,36127.00912499997,872.0204396322317,11.362964329165806,26.864762793849586,NaN,NaN,NaN,NaN,-398.3335947762912,-1067.7760571987965,-669.4424624225053,12.472659501886056,11.546986146203485
1743998400,33111.004430492765,33111.004430492765,31103.57,31439.357500000002,34320.11,33259.76,33789.935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35816.73524999997,39613.873727184204,32019.596772815737,35816.73524999997,37715.30448859208,33918.166011407855,36479.80163622939,35228.559368171955,33922.64488671879,38268.88813281247,38453.171387499984,37481.556531249975,35816.73524999997,953.1214389794128,9.817107639574076,23.935007365647163,NaN,NaN,NaN,NaN,-471.0534793266513,-1258.2593115808195,-787.2058322541682,12.387409304656499,11.645859479224333
1744070400,32275.180965246385,33257.16,31703.69,32353.370000000003,33158.87,30792.74,31975.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35538.989749999964,39492.94451030817,31585.03498969176,35538.989749999964,37515.967130154066,33562.01236984586,36317.98078774981,34967.17851651996,33925.70840820316,38261.18475781248,38417.42408749998,37398.37737499998,35538.989749999964,1014.8843719094549,23.312769252047318,22.730421820875367,NaN,NaN,NaN,NaN,-426.4325446208261,-1320.2465130302007,-893.8139684093746,17.534959286068244,14.131676030870267
1744084800,32314.275482623194,33042.57,32314.275482623194,32847.2425,33158.87,30792.74,31975.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35292.580624999966,39272.48772757388,31312.67352242605,35292.580624999966,37282.53417628693,33302.627073713,36181.873403916485,34774.45706047269,33929.11445703128,38254.697374999974,38384.90023749998,37321.01137499999,35292.580624999966,994.4136680142657,29.45574842759116,22.110478639008925,NaN,NaN,NaN,NaN,-336.44418805326734,-1314.3692034759588,-977.9250154226914,21.502179655094107,17.141516081939617
1744156800,32580.758991311595,32580.758991311595,31708.21,32150.6475,33257.16,31703.69,32480.425000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34998.18699999996,38993.09654359611,31003.277456403808,34998.18699999996,36995.64177179804,33000.73222820189,36023.78611356682,34535.928918611535,33931.81964062503,38244.75017968747,38347.50883749998,37236.94534374998,34998.18699999996,1004.7435845846754,26.260470215754225,22.054793570182685,NaN,NaN,NaN,NaN,-297.9437790663844,-1350.354739255672,-1052.4109601892876,26.170403358421584,21.735847433194646
